cleanup_id,zone,state,country,gps,cleanup_type,cleanup_date,group_name,adults,children,people,pounds,number_of_bags,cigarette_butts,food_wrappers_candy_chips_etc,take_out_away_containers_plastic,take_out_away_containers_foam,bottle_caps_plastic,bottle_caps_metal,lids_plastic,straws_stirrers,forks_knives_spoons,beverage_bottles_plastic,beverage_bottles_glass,beverage_cans,grocery_bags_plastic,other_plastic_bags,paper_bags,cups_plates_paper,cups_plates_plastic,cups_plates_foam,fishing_buoys_pots_traps,fishing_net_pieces,fishing_line_1_yard_meter_1_piece,rope_1_yard_meter_1_piece,x6_pack_holders,other_plastic_foam_packaging,other_plastic_bottles_oil_bleach_etc,strapping_bands,tobacco_packaging_wrap,beverages_sachets,appliances_refrigerators_washers_etc,balloons,cigar_tips,cigarette_lighters,construction_materials,fireworks,tires,toys,e_cigarettes,other_tobacco_packaging_lighter_etc,condoms,diapers,syringes,tampons_tampon_applicators,gloves_masks_ppe,foam_dock_pieces,electronic_waste_phones_batteries,cotton_bud_sticks_swabs,clothing_shoes
5084,"Alameda County, CA, USA","California, USA",United States,"37.80679, -122.30491",beach,2016-09-17,20,163,0,163,150.19,NA,84,63,88,57,158,NA,120,153,60,156,104,62,77,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15944,"Alameda County, CA, USA","California, USA",United States,"37.75073431111, -122.23471485078",watercraft,2016-09-17,Aeolian Yacht Club,16,2,18,83,11,451,85,2,7,126,77,18,44,27,26,53,12,5,1,4,24,1,24,NA,NA,5,NA,1,17,7,20,71,NA,NA,1,21,6,1,1,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,NA,NA
12891,"Alameda County, CA, USA","California, USA",United States,"37.86590974984, -122.30589866638",beach,2016-09-17,"Albany, Emeryville + Berkeley ICC",655,362,1017,3386,NA,8152,5626,1122,541,9280,1092,967,2156,1577,1066,712,835,938,2144,642,303,635,422,59,72,180,178,173,3269,211,325,1077,NA,78,125,912,157,449,161,71,NA,NA,NA,46,23,138,39,NA,NA,NA,NA,NA
16004,"Alameda County, CA, USA","California, USA",United States,"37.765599985098, -122.2866159305",beach,2016-09-17,Bellena Isle Marina,40,60,100,900,NA,1678,257,19,21,143,106,30,68,14,293,47,56,19,44,3,15,12,11,2,4,3,16,2,7,5,NA,30,NA,3,4,12,11,10,14,10,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA
8066,"Alameda County, CA, USA","California, USA",United States,"37.898187971175, -122.3037314415",beach,2016-09-17,City of El Cerrito,48,0,48,260,70,871,424,30,8,70,123,67,76,10,62,80,43,154,112,66,29,23,NA,NA,2,NA,NA,1,23,2,5,22,NA,1,NA,12,3,19,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
15943,"Alameda County, CA, USA","California, USA",United States,"37.778603874908, -122.25397545844",beach,2016-09-17,Grand Marina,3,2,5,20,3,16,21,NA,2,2,1,1,1,NA,2,3,3,26,NA,NA,1,5,8,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4895,"Alameda County, CA, USA","California, USA",United States,"37.75752, -122.21651",beach,2016-09-17,Matson,4,0,4,15.94,NA,27,77,1,5,100,NA,NA,26,4,2,5,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14573,"Alameda County, CA, USA","California, USA",United States,"37.803961924486, -122.32481494546",beach,2016-09-17,Middle Harbor Shoreline Park - Lafayette Elementary,1,23,24,20,NA,481,420,1,4,246,46,60,171,35,20,4,1,16,85,4,1,17,29,1,4,1,4,NA,105,5,NA,12,NA,NA,3,38,1,1,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA
4996,"Alameda County, CA, USA","California, USA",United States,"37.75876, -122.22281",beach,2016-09-17,NA,1,0,1,2.65,NA,7,NA,3,NA,14,NA,NA,8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5533,"Butte County, CA, USA","California, USA",United States,"39.532141014347, -121.54330674559",beach,2016-09-17,Great Sierra River Cleanup,90,0,90,8000,700,12,43,18,11,12,1,6,6,6,12,6,6,2,2,2,6,6,6,2,2,2,2,1,3,3,NA,4,NA,NA,NA,3,2,NA,NA,12,NA,NA,NA,1,6,2,NA,NA,NA,NA,NA,NA
